aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
153,198,2023-01-30:18,5,87,57,42.75,20,2023-01-30T23:30:00,2023-01-30T18:00:00,1675101600
153,192.3,2023-01-30:17,5,89,54.3,40.75,18,2023-01-30T22:30:00,2023-01-30T17:00:00,1675098000
153,186.7,2023-01-30:16,5,91,51.7,38.75,16,2023-01-30T21:30:00,2023-01-30T16:00:00,1675094400
150,181,2023-01-30:15,5,93,49,36.75,14,2023-01-30T20:30:00,2023-01-30T15:00:00,1675090800
137,172.7,2023-01-30:14,3.7,99.3,46.3,34.75,12.3,2023-01-30T19:30:00,2023-01-30T14:00:00,1675087200
123,164.3,2023-01-30:13,2.3,105.7,43.7,32.75,10.7,2023-01-30T18:30:00,2023-01-30T13:00:00,1675083600
129,156,2023-01-30:12,1,112,41,30.75,9,2023-01-30T17:30:00,2023-01-30T12:00:00,1675080000
139,157,2023-01-30:11,1,110.3,43,32.25,9.3,2023-01-30T16:30:00,2023-01-30T11:00:00,1675076400
121,158,2023-01-30:10,1,108.7,45,43,9.7,2023-01-30T15:30:00,2023-01-30T10:00:00,1675072800
139,159,2023-01-30:09,1,107,47,35.25,10,2023-01-30T14:30:00,2023-01-30T09:00:00,1675069200
145,160,2023-01-30:08,1,105,49.3,37,11.7,2023-01-30T13:30:00,2023-01-30T08:00:00,1675065600
155,161,2023-01-30:07,1,103,51.7,38.75,13.3,2023-01-30T12:30:00,2023-01-30T07:00:00,1675062000
163,162,2023-01-30:06,1,101,54,40.5,15,2023-01-30T11:30:00,2023-01-30T06:00:00,1675058400
177,168,2023-01-30:05,1.3,100.7,59.3,44.5,20.3,2023-01-30T10:30:00,2023-01-30T05:00:00,1675054800
187,174,2023-01-30:04,1.7,100.3,64.7,48.5,25.7,2023-01-30T09:30:00,2023-01-30T04:00:00,1675051200
171,180,2023-01-30:03,2,100,70,52.5,31,2023-01-30T08:30:00,2023-01-30T03:00:00,1675047600
184,179,2023-01-30:02,2,94.7,67.7,50.75,29,2023-01-30T07:30:00,2023-01-30T02:00:00,1675044000
184,178,2023-01-30:01,2,89.3,65.3,49,27,2023-01-30T06:30:00,2023-01-30T01:00:00,1675040400
193,177,2023-01-30:00,2,84,63,47.25,25,2023-01-30T05:30:00,2023-01-30T00:00:00,1675036800
193,179,2023-01-29:23,2.3,84.3,63.7,47.75,24.7,2023-01-30T04:30:00,2023-01-29T23:00:00,1675033200
205,181,2023-01-29:22,2.7,84.7,64.3,48.25,24.3,2023-01-30T03:30:00,2023-01-29T22:00:00,1675029600
196,183,2023-01-29:21,3,85,65,48.75,24,2023-01-30T02:30:00,2023-01-29T21:00:00,1675026000
217,193,2023-01-29:20,3.3,92.7,66.3,49.75,27.7,2023-01-30T01:30:00,2023-01-29T20:00:00,1675022400
209,203,2023-01-29:19,3.7,100.3,67.7,50.75,31.3,2023-01-30T00:30:00,2023-01-29T19:00:00,1675018800
217,213,2023-01-29:18,4,108,69,51.75,35,2023-01-29T23:30:00,2023-01-29T18:00:00,1675015200
219,219.7,2023-01-29:17,4.3,113.7,71.3,53.5,37.3,2023-01-29T22:30:00,2023-01-29T17:00:00,1675011600
217,226.3,2023-01-29:16,4.7,119.3,73.7,55.25,39.7,2023-01-29T21:30:00,2023-01-29T16:00:00,1675008000
200,233,2023-01-29:15,5,125,76,57,42,2023-01-29T20:30:00,2023-01-29T15:00:00,1675004400
181,223.3,2023-01-29:14,4,136.7,75,56.25,43.7,2023-01-29T19:30:00,2023-01-29T14:00:00,1675000800
165,213.7,2023-01-29:13,3,148.3,74,67,45.3,2023-01-29T18:30:00,2023-01-29T13:00:00,1674997200
183,204,2023-01-29:12,2,160,73,54.75,47,2023-01-29T17:30:00,2023-01-29T12:00:00,1674993600
181,205.7,2023-01-29:11,1.7,163,76.3,57.25,55.3,2023-01-29T16:30:00,2023-01-29T11:00:00,1674990000
187,207.3,2023-01-29:10,1.3,166,79.7,59.75,63.7,2023-01-29T15:30:00,2023-01-29T10:00:00,1674986400
173,209,2023-01-29:09,1,169,83,73,72,2023-01-29T14:30:00,2023-01-29T09:00:00,1674982800
165,212.3,2023-01-29:08,1,169.7,82,66.67,78.7,2023-01-29T13:30:00,2023-01-29T08:00:00,1674979200
180,215.7,2023-01-29:07,1,170.3,81,78,85.3,2023-01-29T12:30:00,2023-01-29T07:00:00,1674975600
150,219,2023-01-29:06,1,171,80,54,92,2023-01-29T11:30:00,2023-01-29T06:00:00,1674972000
170,210.7,2023-01-29:05,2.7,152,74.7,70.33,77.3,2023-01-29T10:30:00,2023-01-29T05:00:00,1674968400
197,202.3,2023-01-29:04,4.3,133,69.3,52,62.7,2023-01-29T09:30:00,2023-01-29T04:00:00,1674964800
213,194,2023-01-29:03,6,114,64,48,48,2023-01-29T08:30:00,2023-01-29T03:00:00,1674961200
197,188.3,2023-01-29:02,5,112,64,48,46.7,2023-01-29T07:30:00,2023-01-29T02:00:00,1674957600
171,182.7,2023-01-29:01,4,110,64,48,45.3,2023-01-29T06:30:00,2023-01-29T01:00:00,1674954000
189,177,2023-01-29:00,3,108,64,48,44,2023-01-29T05:30:00,2023-01-29T00:00:00,1674950400
177,177.3,2023-01-28:23,3.3,107.3,63,47.25,43,2023-01-29T04:30:00,2023-01-28T23:00:00,1674946800
181,177.7,2023-01-28:22,3.7,106.7,62,46.5,42,2023-01-29T03:30:00,2023-01-28T22:00:00,1674943200
184,178,2023-01-28:21,4,106,61,45.75,41,2023-01-29T02:30:00,2023-01-28T21:00:00,1674939600
193,181.3,2023-01-28:20,5,110,61,45.75,42,2023-01-29T01:30:00,2023-01-28T20:00:00,1674936000
212,184.7,2023-01-28:19,6,114,61,45.75,43,2023-01-29T00:30:00,2023-01-28T19:00:00,1674932400
235,188,2023-01-28:18,7,118,61,45.75,44,2023-01-28T23:30:00,2023-01-28T18:00:00,1674928800
188,183.7,2023-01-28:17,7.3,115,59,44.25,41,2023-01-28T22:30:00,2023-01-28T17:00:00,1674925200
209,179.3,2023-01-28:16,7.7,112,57,42.75,38,2023-01-28T21:30:00,2023-01-28T16:00:00,1674921600
208,175,2023-01-28:15,8,109,55,41.25,35,2023-01-28T20:30:00,2023-01-28T15:00:00,1674918000
199,162.3,2023-01-28:14,6,119.3,53,39.75,35.7,2023-01-28T19:30:00,2023-01-28T14:00:00,1674914400
191,149.7,2023-01-28:13,4,129.7,51,38.25,36.3,2023-01-28T18:30:00,2023-01-28T13:00:00,1674910800
175,137,2023-01-28:12,2,140,49,36.75,37,2023-01-28T17:30:00,2023-01-28T12:00:00,1674907200
129,135.7,2023-01-28:11,1.7,141.3,48.3,46,39.7,2023-01-28T16:30:00,2023-01-28T11:00:00,1674903600
126,134.3,2023-01-28:10,1.3,142.7,47.7,45,42.3,2023-01-28T15:30:00,2023-01-28T10:00:00,1674900000
129,133,2023-01-28:09,1,144,47,46,45,2023-01-28T14:30:00,2023-01-28T09:00:00,1674896400
118,137,2023-01-28:08,1,144.7,48.7,42,50,2023-01-28T13:30:00,2023-01-28T08:00:00,1674892800
153,141,2023-01-28:07,1,145.3,50.3,37.75,55,2023-01-28T12:30:00,2023-01-28T07:00:00,1674889200
168,145,2023-01-28:06,1,146,52,39,60,2023-01-28T11:30:00,2023-01-28T06:00:00,1674885600
193,274.7,2023-01-28:05,10.7,120,66,49.5,52,2023-01-28T10:30:00,2023-01-28T05:00:00,1674882000
232,404.3,2023-01-28:04,20.3,94,80,60,44,2023-01-28T09:30:00,2023-01-28T04:00:00,1674878400
167,534,2023-01-28:03,30,68,94,70.5,36,2023-01-28T08:30:00,2023-01-28T03:00:00,1674874800
264,477.3,2023-01-28:02,26,65.7,89.7,67.25,38,2023-01-28T07:30:00,2023-01-28T02:00:00,1674871200
235,420.7,2023-01-28:01,22,63.3,85.3,64,40,2023-01-28T06:30:00,2023-01-28T01:00:00,1674867600
233,364,2023-01-28:00,18,61,81,60.75,42,2023-01-28T05:30:00,2023-01-28T00:00:00,1674864000
233,332,2023-01-27:23,17,70.7,77,57.75,42.7,2023-01-28T04:30:00,2023-01-27T23:00:00,1674860400
253,300,2023-01-27:22,16,80.3,73,54.75,43.3,2023-01-28T03:30:00,2023-01-27T22:00:00,1674856800
258,268,2023-01-27:21,15,90,69,51.75,44,2023-01-28T02:30:00,2023-01-27T21:00:00,1674853200
248,249.7,2023-01-27:20,14,93.7,65,48.75,42,2023-01-28T01:30:00,2023-01-27T20:00:00,1674849600
254,231.3,2023-01-27:19,13,97.3,61,45.75,40,2023-01-28T00:30:00,2023-01-27T19:00:00,1674846000
208,213,2023-01-27:18,12,101,57,42.75,38,2023-01-27T23:30:00,2023-01-27T18:00:00,1674842400
187,198.7,2023-01-27:17,11,100.7,54,40.5,35.7,2023-01-27T22:30:00,2023-01-27T17:00:00,1674838800
173,184.3,2023-01-27:16,10,100.3,51,38.25,33.3,2023-01-27T21:30:00,2023-01-27T16:00:00,1674835200
173,170,2023-01-27:15,9,100,48,36,31,2023-01-27T20:30:00,2023-01-27T15:00:00,1674831600
161,154.7,2023-01-27:14,6.7,108.3,44.7,33.5,31.3,2023-01-27T19:30:00,2023-01-27T14:00:00,1674828000
126,139.3,2023-01-27:13,4.3,116.7,41.3,31,31.7,2023-01-27T18:30:00,2023-01-27T13:00:00,1674824400
115,124,2023-01-27:12,2,125,38,28.5,32,2023-01-27T17:30:00,2023-01-27T12:00:00,1674820800
129,125,2023-01-27:11,1.7,127.3,37.7,28.25,33.7,2023-01-27T16:30:00,2023-01-27T11:00:00,1674817200
100,126,2023-01-27:10,1.3,129.7,37.3,35,35.3,2023-01-27T15:30:00,2023-01-27T10:00:00,1674813600
131,127,2023-01-27:09,1,132,37,27.75,37,2023-01-27T14:30:00,2023-01-27T09:00:00,1674810000
142,128.7,2023-01-27:08,1,130.7,40.7,30.5,38.3,2023-01-27T13:30:00,2023-01-27T08:00:00,1674806400
148,130.3,2023-01-27:07,1,129.3,44.3,33.25,39.7,2023-01-27T12:30:00,2023-01-27T07:00:00,1674802800
169,132,2023-01-27:06,1,128,48,36,41,2023-01-27T11:30:00,2023-01-27T06:00:00,1674799200
172,153.7,2023-01-27:05,2.3,118,56.3,42.25,37.3,2023-01-27T10:30:00,2023-01-27T05:00:00,1674795600
203,175.3,2023-01-27:04,3.7,108,64.7,48.5,33.7,2023-01-27T09:30:00,2023-01-27T04:00:00,1674792000
217,197,2023-01-27:03,5,98,73,54.75,30,2023-01-27T08:30:00,2023-01-27T03:00:00,1674788400
153,199.3,2023-01-27:02,5,95.3,74.3,55.75,31,2023-01-27T07:30:00,2023-01-27T02:00:00,1674784800
203,201.7,2023-01-27:01,5,92.7,75.7,56.75,32,2023-01-27T06:30:00,2023-01-27T01:00:00,1674781200
139,204,2023-01-27:00,5,90,77,50,33,2023-01-27T05:30:00,2023-01-27T00:00:00,1674777600
185,198.3,2023-01-26:23,5.3,90.7,73,54.75,32,2023-01-27T04:30:00,2023-01-26T23:00:00,1674774000
200,192.7,2023-01-26:22,5.7,91.3,69,51.75,31,2023-01-27T03:30:00,2023-01-26T22:00:00,1674770400
176,187,2023-01-26:21,6,92,65,48.75,30,2023-01-27T02:30:00,2023-01-26T21:00:00,1674766800
181,185.3,2023-01-26:20,7,94.3,62,46.5,29.3,2023-01-27T01:30:00,2023-01-26T20:00:00,1674763200
179,183.7,2023-01-26:19,8,96.7,59,44.25,28.7,2023-01-27T00:30:00,2023-01-26T19:00:00,1674759600
181,182,2023-01-26:18,9,99,56,42,28,2023-01-26T23:30:00,2023-01-26T18:00:00,1674756000
172,174.7,2023-01-26:17,9,97,53.3,40,25.3,2023-01-26T22:30:00,2023-01-26T17:00:00,1674752400
165,167.3,2023-01-26:16,9,95,50.7,38,22.7,2023-01-26T21:30:00,2023-01-26T16:00:00,1674748800
153,160,2023-01-26:15,9,93,48,36,20,2023-01-26T20:30:00,2023-01-26T15:00:00,1674745200
145,143,2023-01-26:14,6.7,101.3,44.7,33.5,19,2023-01-26T19:30:00,2023-01-26T14:00:00,1674741600
118,126,2023-01-26:13,4.3,109.7,41.3,31,18,2023-01-26T18:30:00,2023-01-26T13:00:00,1674738000
118,109,2023-01-26:12,2,118,38,28.5,17,2023-01-26T17:30:00,2023-01-26T12:00:00,1674734400
93,109.3,2023-01-26:11,1.7,119.3,38,32,16.7,2023-01-26T16:30:00,2023-01-26T11:00:00,1674730800
93,109.7,2023-01-26:10,1.3,120.7,38,32,16.3,2023-01-26T15:30:00,2023-01-26T10:00:00,1674727200
95,110,2023-01-26:09,1,122,38,33,16,2023-01-26T14:30:00,2023-01-26T09:00:00,1674723600
93,119,2023-01-26:08,1,121.7,42,32,16.3,2023-01-26T13:30:00,2023-01-26T08:00:00,1674720000
85,128,2023-01-26:07,1,121.3,46,28,16.7,2023-01-26T12:30:00,2023-01-26T07:00:00,1674716400
123,137,2023-01-26:06,1,121,50,44,17,2023-01-26T11:30:00,2023-01-26T06:00:00,1674712800
163,152,2023-01-26:05,2,113.3,54,40.5,18,2023-01-26T10:30:00,2023-01-26T05:00:00,1674709200
157,167,2023-01-26:04,3,105.7,58,43.5,19,2023-01-26T09:30:00,2023-01-26T04:00:00,1674705600
184,182,2023-01-26:03,4,98,62,46.5,20,2023-01-26T08:30:00,2023-01-26T03:00:00,1674702000
171,179,2023-01-26:02,3.3,96,63,47.25,20,2023-01-26T07:30:00,2023-01-26T02:00:00,1674698400
155,176,2023-01-26:01,2.7,94,64,59,20,2023-01-26T06:30:00,2023-01-26T01:00:00,1674694800
115,173,2023-01-26:00,2,92,65,41,20,2023-01-26T05:30:00,2023-01-26T00:00:00,1674691200
155,172,2023-01-25:23,2.3,89.7,65.3,59,19.3,2023-01-26T04:30:00,2023-01-25T23:00:00,1674687600
156,171,2023-01-25:22,2.7,87.3,65.7,60,18.7,2023-01-26T03:30:00,2023-01-25T22:00:00,1674684000
164,170,2023-01-25:21,3,85,66,66,18,2023-01-26T02:30:00,2023-01-25T21:00:00,1674680400
153,169.3,2023-01-25:20,4,86.7,65.3,58,19,2023-01-26T01:30:00,2023-01-25T20:00:00,1674676800
167,168.7,2023-01-25:19,5,88.3,64.7,48.5,20,2023-01-26T00:30:00,2023-01-25T19:00:00,1674673200
164,168,2023-01-25:18,6,90,64,48,21,2023-01-25T23:30:00,2023-01-25T18:00:00,1674669600
165,161,2023-01-25:17,6,90.3,61.3,46,19.7,2023-01-25T22:30:00,2023-01-25T17:00:00,1674666000
161,154,2023-01-25:16,6,90.7,58.7,44,18.3,2023-01-25T21:30:00,2023-01-25T16:00:00,1674662400
161,147,2023-01-25:15,6,91,56,42,17,2023-01-25T20:30:00,2023-01-25T15:00:00,1674658800
168,133.3,2023-01-25:14,4.7,97.7,52.3,39.25,15.7,2023-01-25T19:30:00,2023-01-25T14:00:00,1674655200
142,119.7,2023-01-25:13,3.3,104.3,48.7,36.5,14.3,2023-01-25T18:30:00,2023-01-25T13:00:00,1674651600
110,106,2023-01-25:12,2,111,45,39,13,2023-01-25T17:30:00,2023-01-25T12:00:00,1674648000
87,104.7,2023-01-25:11,1.7,112,43,29,13.3,2023-01-25T16:30:00,2023-01-25T11:00:00,1674644400
80,103.3,2023-01-25:10,1.3,113,41,26,13.7,2023-01-25T15:30:00,2023-01-25T10:00:00,1674640800
80,102,2023-01-25:09,1,114,39,26,14,2023-01-25T14:30:00,2023-01-25T09:00:00,1674637200
80,103.7,2023-01-25:08,1,111.3,39.3,26,14,2023-01-25T13:30:00,2023-01-25T08:00:00,1674633600
69,105.3,2023-01-25:07,1,108.7,39.7,21,14,2023-01-25T12:30:00,2023-01-25T07:00:00,1674630000
80,107,2023-01-25:06,1,106,40,26,14,2023-01-25T11:30:00,2023-01-25T06:00:00,1674626400
95,112.7,2023-01-25:05,1.7,98.3,37.7,33,17,2023-01-25T10:30:00,2023-01-25T05:00:00,1674622800
104,118.3,2023-01-25:04,2.3,90.7,35.3,26.5,20,2023-01-25T09:30:00,2023-01-25T04:00:00,1674619200
104,124,2023-01-25:03,3,83,33,24.75,23,2023-01-25T08:30:00,2023-01-25T03:00:00,1674615600
129,123.3,2023-01-25:02,3,79.3,33,24.75,21.7,2023-01-25T07:30:00,2023-01-25T02:00:00,1674612000
102,122.7,2023-01-25:01,3,75.7,33,24.75,20.3,2023-01-25T06:30:00,2023-01-25T01:00:00,1674608400
98,122,2023-01-25:00,3,72,33,24.75,19,2023-01-25T05:30:00,2023-01-25T00:00:00,1674604800
98,122,2023-01-24:23,3,73,32.3,24.25,18.3,2023-01-25T04:30:00,2023-01-24T23:00:00,1674601200
91,122,2023-01-24:22,3,74,31.7,31,17.7,2023-01-25T03:30:00,2023-01-24T22:00:00,1674597600
93,122,2023-01-24:21,3,75,31,23.25,17,2023-01-25T02:30:00,2023-01-24T21:00:00,1674594000
93,125,2023-01-24:20,3.7,77,31.3,23.5,18,2023-01-25T01:30:00,2023-01-24T20:00:00,1674590400
118,128,2023-01-24:19,4.3,79,31.7,23.75,19,2023-01-25T00:30:00,2023-01-24T19:00:00,1674586800
115,131,2023-01-24:18,5,81,32,24,20,2023-01-24T23:30:00,2023-01-24T18:00:00,1674583200
134,128,2023-01-24:17,4.7,82.3,30.7,23,19.3,2023-01-24T22:30:00,2023-01-24T17:00:00,1674579600
155,125,2023-01-24:16,4.3,83.7,29.3,22,18.7,2023-01-24T21:30:00,2023-01-24T16:00:00,1674576000
151,122,2023-01-24:15,4,85,28,21,18,2023-01-24T20:30:00,2023-01-24T15:00:00,1674572400
134,113,2023-01-24:14,3.3,91.3,26,19.5,16.3,2023-01-24T19:30:00,2023-01-24T14:00:00,1674568800
104,104,2023-01-24:13,2.7,97.7,24,18,14.7,2023-01-24T18:30:00,2023-01-24T13:00:00,1674565200
100,95,2023-01-24:12,2,104,22,16.5,13,2023-01-24T17:30:00,2023-01-24T12:00:00,1674561600
89,91.7,2023-01-24:11,1.7,104,23.7,17.75,12.3,2023-01-24T16:30:00,2023-01-24T11:00:00,1674558000
89,88.3,2023-01-24:10,1.3,104,25.3,19,11.7,2023-01-24T15:30:00,2023-01-24T10:00:00,1674554400
72,85,2023-01-24:09,1,104,27,22,11,2023-01-24T14:30:00,2023-01-24T09:00:00,1674550800
69,89,2023-01-24:08,1,101.3,30,21,10.7,2023-01-24T13:30:00,2023-01-24T08:00:00,1674547200
80,93,2023-01-24:07,1,98.7,33,26,10.3,2023-01-24T12:30:00,2023-01-24T07:00:00,1674543600
85,97,2023-01-24:06,1,96,36,28,10,2023-01-24T11:30:00,2023-01-24T06:00:00,1674540000
107,107.3,2023-01-24:05,1.3,90.7,42,38,11.7,2023-01-24T10:30:00,2023-01-24T05:00:00,1674536400
121,117.7,2023-01-24:04,1.7,85.3,48,43,13.3,2023-01-24T09:30:00,2023-01-24T04:00:00,1674532800
118,128,2023-01-24:03,2,80,54,42,15,2023-01-24T08:30:00,2023-01-24T03:00:00,1674529200
115,127.3,2023-01-24:02,2,75,50,41,16.7,2023-01-24T07:30:00,2023-01-24T02:00:00,1674525600
95,126.7,2023-01-24:01,2,70,46,33,18.3,2023-01-24T06:30:00,2023-01-24T01:00:00,1674522000
91,126,2023-01-24:00,2,65,42,31,20,2023-01-24T05:30:00,2023-01-24T00:00:00,1674518400
91,125,2023-01-23:23,2.3,68,40.7,31,18.7,2023-01-24T04:30:00,2023-01-23T23:00:00,1674514800
95,124,2023-01-23:22,2.7,71,39.3,33,17.3,2023-01-24T03:30:00,2023-01-23T22:00:00,1674511200
107,123,2023-01-23:21,3,74,38,38,16,2023-01-24T02:30:00,2023-01-23T21:00:00,1674507600
107,131.7,2023-01-23:20,3.3,78.3,39.7,38,17.7,2023-01-24T01:30:00,2023-01-23T20:00:00,1674504000
139,140.3,2023-01-23:19,3.7,82.7,41.3,31,19.3,2023-01-24T00:30:00,2023-01-23T19:00:00,1674500400
171,149,2023-01-23:18,4,87,43,32.25,21,2023-01-23T23:30:00,2023-01-23T18:00:00,1674496800
179,156,2023-01-23:17,4.3,89.3,46,34.5,22.7,2023-01-23T22:30:00,2023-01-23T17:00:00,1674493200
172,163,2023-01-23:16,4.7,91.7,49,36.75,24.3,2023-01-23T21:30:00,2023-01-23T16:00:00,1674489600
180,170,2023-01-23:15,5,94,52,39,26,2023-01-23T20:30:00,2023-01-23T15:00:00,1674486000
176,162,2023-01-23:14,4,102.3,53.3,40,25.7,2023-01-23T19:30:00,2023-01-23T14:00:00,1674482400
156,154,2023-01-23:13,3,110.7,54.7,41,25.3,2023-01-23T18:30:00,2023-01-23T13:00:00,1674478800
153,146,2023-01-23:12,2,119,56,42,25,2023-01-23T17:30:00,2023-01-23T12:00:00,1674475200
153,146.7,2023-01-23:11,1.7,120.7,55.7,41.75,24.3,2023-01-23T16:30:00,2023-01-23T11:00:00,1674471600
152,147.3,2023-01-23:10,1.3,122.3,55.3,41.5,23.7,2023-01-23T15:30:00,2023-01-23T10:00:00,1674468000
165,148,2023-01-23:09,1,124,55,41.25,23,2023-01-23T14:30:00,2023-01-23T09:00:00,1674464400
181,155,2023-01-23:08,1,122.3,59.7,44.75,22.3,2023-01-23T13:30:00,2023-01-23T08:00:00,1674460800
193,162,2023-01-23:07,1,120.7,64.3,48.25,21.7,2023-01-23T12:30:00,2023-01-23T07:00:00,1674457200
189,169,2023-01-23:06,1,119,69,51.75,21,2023-01-23T11:30:00,2023-01-23T06:00:00,1674453600
188,180.7,2023-01-23:05,1.7,111.3,71.7,53.75,21,2023-01-23T10:30:00,2023-01-23T05:00:00,1674450000
196,192.3,2023-01-23:04,2.3,103.7,74.3,55.75,21,2023-01-23T09:30:00,2023-01-23T04:00:00,1674446400
211,204,2023-01-23:03,3,96,77,57.75,21,2023-01-23T08:30:00,2023-01-23T03:00:00,1674442800
187,200.7,2023-01-23:02,2.7,91.3,74.7,56,20.3,2023-01-23T07:30:00,2023-01-23T02:00:00,1674439200
163,197.3,2023-01-23:01,2.3,86.7,72.3,65,19.7,2023-01-23T06:30:00,2023-01-23T01:00:00,1674435600
131,194,2023-01-23:00,2,82,70,47,19,2023-01-23T05:30:00,2023-01-23T00:00:00,1674432000
135,196,2023-01-22:23,2.3,81.7,72.3,48.33,20,2023-01-23T04:30:00,2023-01-22T23:00:00,1674428400
139,198,2023-01-22:22,2.7,81.3,74.7,49.67,21,2023-01-23T03:30:00,2023-01-22T22:00:00,1674424800
142,200,2023-01-22:21,3,81,77,51,22,2023-01-23T02:30:00,2023-01-22T21:00:00,1674421200
143,200.7,2023-01-22:20,3.7,82,77,51.33,22.3,2023-01-23T01:30:00,2023-01-22T20:00:00,1674417600
144,201.3,2023-01-22:19,4.3,83,77,51.67,22.7,2023-01-23T00:30:00,2023-01-22T19:00:00,1674414000
145,202,2023-01-22:18,5,84,77,52,23,2023-01-22T23:30:00,2023-01-22T18:00:00,1674410400
140,194,2023-01-22:17,5,86,74.7,50.33,21.3,2023-01-22T22:30:00,2023-01-22T17:00:00,1674406800
136,186,2023-01-22:16,5,88,72.3,48.67,19.7,2023-01-22T21:30:00,2023-01-22T16:00:00,1674403200
131,178,2023-01-22:15,5,90,70,47,18,2023-01-22T20:30:00,2023-01-22T15:00:00,1674399600
142,166,2023-01-22:14,4,99.3,68,51,16.7,2023-01-22T19:30:00,2023-01-22T14:00:00,1674396000
167,154,2023-01-22:13,3,108.7,66,49.5,15.3,2023-01-22T18:30:00,2023-01-22T13:00:00,1674392400
155,142,2023-01-22:12,2,118,64,59,14,2023-01-22T17:30:00,2023-01-22T12:00:00,1674388800
151,139.3,2023-01-22:11,1.7,119.7,60.7,56,13.7,2023-01-22T16:30:00,2023-01-22T11:00:00,1674385200
150,136.7,2023-01-22:10,1.3,121.3,57.3,54,13.3,2023-01-22T15:30:00,2023-01-22T10:00:00,1674381600
142,134,2023-01-22:09,1,123,54,51,13,2023-01-22T14:30:00,2023-01-22T09:00:00,1674378000
134,133.3,2023-01-22:08,1,122.3,54.3,48,14.3,2023-01-22T13:30:00,2023-01-22T08:00:00,1674374400
148,132.7,2023-01-22:07,1,121.7,54.7,53,15.7,2023-01-22T12:30:00,2023-01-22T07:00:00,1674370800
153,132,2023-01-22:06,1,121,55,55,17,2023-01-22T11:30:00,2023-01-22T06:00:00,1674367200
153,150,2023-01-22:05,2.7,108,57.7,43.25,18.7,2023-01-22T10:30:00,2023-01-22T05:00:00,1674363600
177,168,2023-01-22:04,4.3,95,60.3,45.25,20.3,2023-01-22T09:30:00,2023-01-22T04:00:00,1674360000
173,186,2023-01-22:03,6,82,63,47.25,22,2023-01-22T08:30:00,2023-01-22T03:00:00,1674356400
171,180.7,2023-01-22:02,5,80.3,61.3,46,22.3,2023-01-22T07:30:00,2023-01-22T02:00:00,1674352800
157,175.3,2023-01-22:01,4,78.7,59.7,44.75,22.7,2023-01-22T06:30:00,2023-01-22T01:00:00,1674349200
168,170,2023-01-22:00,3,77,58,43.5,23,2023-01-22T05:30:00,2023-01-22T00:00:00,1674345600
177,168,2023-01-21:23,3.3,77,57,42.75,23.3,2023-01-22T04:30:00,2023-01-21T23:00:00,1674342000
181,166,2023-01-21:22,3.7,77,56,42,23.7,2023-01-22T03:30:00,2023-01-21T22:00:00,1674338400
172,164,2023-01-21:21,4,77,55,41.25,24,2023-01-22T02:30:00,2023-01-21T21:00:00,1674334800
168,161,2023-01-21:20,5,78.3,53.3,40,22.7,2023-01-22T01:30:00,2023-01-21T20:00:00,1674331200
151,158,2023-01-21:19,6,79.7,51.7,38.75,21.3,2023-01-22T00:30:00,2023-01-21T19:00:00,1674327600
142,155,2023-01-21:18,7,81,50,37.5,20,2023-01-21T23:30:00,2023-01-21T18:00:00,1674324000
150,149,2023-01-21:17,7,80.7,49,36.75,16.7,2023-01-21T22:30:00,2023-01-21T17:00:00,1674320400
153,143,2023-01-21:16,7,80.3,48,36,13.3,2023-01-21T21:30:00,2023-01-21T16:00:00,1674316800
167,137,2023-01-21:15,7,80,47,35.25,10,2023-01-21T20:30:00,2023-01-21T15:00:00,1674313200
153,126.3,2023-01-21:14,5.7,90,48.7,36.5,9.7,2023-01-21T19:30:00,2023-01-21T14:00:00,1674309600
129,115.7,2023-01-21:13,4.3,100,50.3,46,9.3,2023-01-21T18:30:00,2023-01-21T13:00:00,1674306000
123,105,2023-01-21:12,3,110,52,44,9,2023-01-21T17:30:00,2023-01-21T12:00:00,1674302400
110,104.7,2023-01-21:11,2.3,113.7,48.7,39,9.3,2023-01-21T16:30:00,2023-01-21T11:00:00,1674298800
107,104.3,2023-01-21:10,1.7,117.3,45.3,38,9.7,2023-01-21T15:30:00,2023-01-21T10:00:00,1674295200
107,104,2023-01-21:09,1,121,42,38,10,2023-01-21T14:30:00,2023-01-21T09:00:00,1674291600
110,107,2023-01-21:08,1,121.7,43.7,39,10.7,2023-01-21T13:30:00,2023-01-21T08:00:00,1674288000
121,110,2023-01-21:07,1,122.3,45.3,43,11.3,2023-01-21T12:30:00,2023-01-21T07:00:00,1674284400
131,113,2023-01-21:06,1,123,47,47,12,2023-01-21T11:30:00,2023-01-21T06:00:00,1674280800
150,135.3,2023-01-21:05,3.3,110.7,48.7,36.5,14,2023-01-21T10:30:00,2023-01-21T05:00:00,1674277200
168,157.7,2023-01-21:04,5.7,98.3,50.3,37.75,16,2023-01-21T09:30:00,2023-01-21T04:00:00,1674273600
160,180,2023-01-21:03,8,86,52,39,18,2023-01-21T08:30:00,2023-01-21T03:00:00,1674270000
168,170.7,2023-01-21:02,6.3,86,50.3,37.75,17.7,2023-01-21T07:30:00,2023-01-21T02:00:00,1674266400
156,161.3,2023-01-21:01,4.7,86,48.7,36.5,17.3,2023-01-21T06:30:00,2023-01-21T01:00:00,1674262800
159,152,2023-01-21:00,3,86,47,35.25,17,2023-01-21T05:30:00,2023-01-21T00:00:00,1674259200
